Number of data points,Reference,Rock,Entry fluid,P’[MPa],Permeability [nD],Porosity [%],Breakthrough pressure [MPa]
79,Schlömer & Krooss, 1997,Claystone,Hg,12,74.00,0.90,45.00
80,Schlömer & Krooss, 1997,Claystone,Hg,12,75.70,0.30,46.00
81,Schlömer & Krooss, 1997,Claystone,Hg,12,7.80,0.70,175.00
82,Schlömer & Krooss, 1997,Claystone,Hg,12,0.62,0.70,51.00
83,Schlömer & Krooss, 1997,Claystone,Hg,12,5.00,0.50,51.00
84,Schlömer & Krooss, 1997,Claystone,Hg,12,13.30,1.90,62.00
85,Schlömer & Krooss, 1997,Claystone,Hg,12,26.60,0.80,124.00
86,Schlömer & Krooss, 1997,Claystone,Hg,12,3.50,0.60,95.88
87,Schlömer & Krooss, 1997,Claystone,Hg,12,1.80,0.40,5.30
88,Schlömer & Krooss, 1997,Claystone,Hg,12,0.10,1.50,25.00
89,Tonnet et al., 2011,Rousse caprock,N2,12,0.10,3.14,5.00
90,Wollenweber et al., 2010,Mudrock,He,10,7.00,6.00,1.81
91,Wollenweber et al., 2010,Mudrock,He,10,12.00,6.00,0.62
92,Wollenweber et al., 2010,Mudrock,He,10,42.00,15.00,0.44
93,Zhang & Yu, 2016,Mudstone,He,30,0.07,3.14,31.00
94,Zhang & Yu, 2016,Mudstone,He,30,0.44,10.07,17.00
95,Zhang & Yu, 2016,Shale,He,30,0.98,10.65,13.00
96,Zhang & Yu, 2016,Shale,He,30,1.62,18.59,11.00
